Notebook,Version
3D RCAN,1.13.1
CARE (2D),1.13.1
CARE (3D),1.13
Cellpose,1.15.1
CycleGAN,1.13
DecoNoising,1.13.1
Deep-STORM,1.13
Deep-STORM BioimageIO,1.13
DenoiSeg,1.13
Detectron 2D,1.13
fnet (2D),1.13.1
fnet (3D),1.13
U-Net (2D),1.13
U-Net (3D),1.13
U-Net (2D) multilabel BioimageIO,1.14
U-Net (2D) BioimageIO,1.14
U-Net (3D) BioimageIO,1.14
Kaibu,1.13.1
MaskRCNN,1.13
Noise2Void (2D),1.13.1
Noise2Void (3D),1.13
pix2pix,1.13
SplineDist (2D),1.13.1
StarDist 2D,1.13
StarDist 2D BioimageIO,1.14
StarDist 3D,1.13
YOLOv2,1.13
Quality_control,1.13
Augmentor,1.13
DRMIME,1.13
RetinaNet,1.13
DFCAN 2D,1.13
EmbedSeg 2D,1.13
